,val_loss,val_accuracy
0,0.06867942959070206,0.9818999767303467
1,0.07040059566497803,0.9815000295639038
2,0.06808248907327652,0.9817000031471252
3,0.11987268924713135,0.9817000031471252
4,0.1205451563000679,0.9825999736785889
5,0.1195748895406723,0.9829999804496765
6,0.11059379577636719,0.9821000099182129
7,0.10813722014427185,0.9825000166893005
8,0.1162637323141098,0.9800000190734863
9,0.12112509459257126,0.9775000214576721
10,0.10781164467334747,0.9829999804496765
11,0.11003249883651733,0.9825999736785889
12,0.12073454260826111,0.9810000061988831
13,0.11603657156229019,0.9815999865531921
14,0.13269640505313873,0.9750000238418579
